p4_4,origin_country_code,age,destination_country_code,year,p4_9,p4_9c,year_return,cond_resid,doc_mig,ent,tam_loc,tpo_mig,fac_hog,sex,motive,category,status,socioeconomic_level,origin_country,destination_country
1,32,1,301,28,1,10,2023,2,1.0,10,2,,164,Male,Job search,Economic,Returned,Middle,Mexico,United States
1,10,1,301,21,1,10,2021,2,1.0,10,2,,164,Male,Job search,Economic,Returned,Middle,Mexico,United States
1,10,1,201,28,1,10,2021,2,2.0,10,3,,178,Male,Job search,Economic,Returned,Lower-Middle,Mexico,Guatemala
1,10,1,101,24,1,10,2023,2,1.0,10,3,,178,Male,Job search,Economic,Returned,Lower-Middle,Mexico,Mexico
1,10,2,201,57,1,10,2022,1,1.0,10,3,12.0,148,Female,Job search,Economic,Established,Lower-Middle,Mexico,Guatemala
1,10,1,201,50,1,10,2018,2,1.0,10,3,,148,Male,Job search,Economic,Returned,Lower-Middle,Mexico,Guatemala
1,10,1,301,21,1,10,2022,2,1.0,10,3,,152,Male,Job search,Economic,Returned,Lower-Middle,Mexico,United States
1,10,1,101,41,1,10,2023,2,1.0,10,3,,143,Male,Job search,Economic,Returned,Lower-Middle,Mexico,Mexico
1,10,1,301,19,1,10,2022,2,2.0,10,3,,158,Male,Job search,Economic,Returned,Lower-Middle,Mexico,United States
1,10,1,101,39,1,10,2023,1,1.0,10,3,4.0,158,Male,Job search,Economic,Established,Lower-Middle,Mexico,Mexico
1,10,1,201,41,1,10,2022,2,2.0,10,3,,158,Male,Job search,Economic,Returned,Lower-Middle,Mexico,Guatemala
1,10,1,101,23,1,10,2022,1,2.0,10,3,12.0,158,Male,Job search,Economic,Established,Lower-Middle,Mexico,Mexico
