p4_4,origin_country_code,age,destination_country_code,year,p4_9,p4_9c,year_return,cond_resid,doc_mig,ent,tam_loc,tpo_mig,fac_hog,sex,motive,category,status,socioeconomic_level,origin_country,destination_country
1,13,1,201,48,1,13,2020,9,2.0,13,4,,279,Male,Job search,Economic,Established,Low,Mexico,Guatemala
1,13,1,201,40,1,13,2022,2,2.0,13,4,,279,Male,Job search,Economic,Returned,Low,Mexico,Guatemala
1,13,1,101,42,1,13,2022,1,1.0,13,4,2.0,279,Male,Job search,Economic,Established,Low,Mexico,Mexico
1,13,1,201,42,1,13,2022,2,2.0,13,4,,268,Male,Job search,Economic,Returned,Low,Mexico,Guatemala
1,13,1,408,16,1,13,2021,2,9.0,13,4,,329,Male,Job search,Economic,Returned,Low,Mexico,Haiti
1,13,1,301,20,1,13,2023,2,,13,4,,329,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,101,27,1,13,2018,1,,13,4,5.0,329,Male,Job search,Economic,Established,Low,Mexico,Mexico
1,13,1,413,22,1,13,2022,2,2.0,13,4,,211,Male,Job search,Economic,Returned,Low,Mexico,Jamaica
1,13,2,301,23,1,13,2023,2,1.0,13,4,,309,Female,Job search,Economic,Returned,Low,Mexico,United States
1,11,1,101,37,1,13,2020,1,1.0,13,4,38.0,265,Male,Job search,Economic,Established,Low,Mexico,Mexico
1,13,1,201,30,1,13,2021,2,2.0,13,4,,265,Male,Job search,Economic,Returned,Low,Mexico,Guatemala
1,13,1,201,36,1,13,2022,2,2.0,13,4,,265,Male,Job search,Economic,Returned,Low,Mexico,Guatemala
1,13,2,301,32,1,13,2022,2,1.0,13,4,,265,Female,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,408,12,1,13,2022,2,1.0,13,4,,265,Male,Job search,Economic,Returned,Low,Mexico,Haiti
1,13,2,401,41,1,13,2022,2,2.0,13,4,,345,Female,Job search,Economic,Returned,Low,Mexico,Cuba
1,9,1,301,23,1,13,2019,2,1.0,13,4,,262,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,301,25,1,13,2020,1,1.0,13,4,10.0,282,Male,Job search,Economic,Established,Low,Mexico,United States
1,13,1,201,38,1,13,2021,2,1.0,13,4,,282,Male,Job search,Economic,Returned,Low,Mexico,Guatemala
1,6,1,201,66,1,14,2022,2,1.0,14,1,,615,Male,Job search,Economic,Returned,Upper-Middle,Mexico,Guatemala
1,14,1,101,27,1,14,2019,1,,14,1,10.0,642,Male,Job search,Economic,Established,Upper-Middle,Mexico,Mexico
1,14,2,301,22,1,14,2022,2,1.0,14,1,,786,Female,Job search,Economic,Returned,Upper-Middle,Mexico,United States
1,14,1,101,44,1,14,2020,1,1.0,14,1,2.0,591,Male,Job search,Economic,Established,Upper-Middle,Mexico,Mexico
1,14,1,301,61,1,14,2023,2,1.0,14,1,,626,Male,Job search,Economic,Returned,Upper-Middle,Mexico,United States
1,14,1,301,27,1,14,2022,1,1.0,14,1,10.0,862,Male,Job search,Economic,Established,Upper-Middle,Mexico,United States
1,14,1,501,26,2,2,2018,1,1.0,14,1,51.0,832,Male,Family reunification,Social,Established,Upper-Middle,Mexico,Colombia
1,14,2,301,24,1,14,2019,2,1.0,14,1,,874,Female,Job search,Economic,Returned,Upper-Middle,Mexico,United States
1,14,1,101,48,1,14,2023,2,1.0,14,1,,833,Male,Job search,Economic,Returned,Upper-Middle,Mexico,Mexico
1,14,2,301,20,1,14,2021,2,,14,1,,788,Female,Job search,Economic,Returned,Upper-Middle,Mexico,United States
1,14,1,101,31,1,14,2019,1,2.0,14,1,32.0,595,Male,Job search,Economic,Established,Upper-Middle,Mexico,Mexico
1,14,2,201,24,1,14,2022,1,,14,1,3.0,427,Female,Job search,Economic,Established,Upper-Middle,Mexico,Guatemala
1,14,1,418,27,1,14,2020,2,1.0,14,1,,620,Male,Job search,Economic,Returned,Upper-Middle,Mexico,Other Caribbean
1,14,1,301,24,1,14,2022,2,1.0,14,1,,636,Male,Job search,Economic,Returned,Upper-Middle,Mexico,United States
1,14,1,101,45,1,14,2018,1,1.0,14,1,1.0,559,Male,Job search,Economic,Established,Upper-Middle,Mexico,Mexico
1,14,1,201,48,1,14,2019,2,1.0,14,1,,801,Male,Job search,Economic,Returned,Upper-Middle,Mexico,Guatemala
1,16,1,201,32,1,14,2022,2,2.0,14,1,,634,Male,Job search,Economic,Returned,Upper-Middle,Mexico,Guatemala
1,14,1,101,35,1,14,2019,1,,14,1,9.0,689,Male,Job search,Economic,Established,Upper-Middle,Mexico,Mexico
1,14,2,201,29,1,14,2019,1,,14,1,9.0,689,Female,Job search,Economic,Established,Upper-Middle,Mexico,Guatemala
1,14,1,301,24,1,14,2022,2,1.0,14,1,,804,Male,Job search,Economic,Returned,Upper-Middle,Mexico,United States
1,14,1,301,25,1,14,2023,2,2.0,14,1,,548,Male,Job search,Economic,Returned,Upper-Middle,Mexico,United States
1,32,2,301,31,1,14,2019,2,1.0,14,1,,618,Female,Job search,Economic,Returned,Upper-Middle,Mexico,United States
1,13,2,301,34,1,13,2019,1,,13,4,33.0,288,Female,Job search,Economic,Established,Low,Mexico,United States
1,13,1,201,57,1,13,2021,2,2.0,13,4,,322,Male,Job search,Economic,Returned,Low,Mexico,Guatemala
1,221,1,101,17,1,13,2023,2,1.0,13,4,,324,Male,Job search,Economic,Returned,Low,Mexico,Mexico
