"upm","viv_sel","hogar","n_ren","llave_mig","llave_per","llave_hog","llave_viv","ent","tam_loc","p4_4","p4_5","p4_5c","p4_6","p4_7","p4_7c","p4_8","p4_9","p4_9c","p4_10_1","p4_10_2","p4_11","p4_11c","p4_12","p4_12c","p4_13","p4_14","p4_14c","p4_15","p4_15c","p4_16","p4_16c","p4_17","p4_17c","p4_18_1","p4_18_2","p4_19","p4_19c","p4_20_1","p4_20_2","fac_hog","t_loc_ur","t_loc_ag1","p4_8_ag1","p4_8_ag2","doc_mig","cond_resid","tpo_mig","tpo_mig_ag","estrato","est_dis","upm_dis"
"1408502","03","1","02","140850203102","","1408502031","140850203","14","1","1","1","014","2","3","301","024","2","032","08","2021","1","221","7","12","3","1","01","1","221","7","12","","","","","","","","",618,"1","1","5","2","1","2","","","3","253","06669"
"1409700","04","1","01","140970004101","","1409700041","140970004","14","2","1","1","014","1","2","201","022","1","014","04","2023","1","221","1","01","2","2","02","1","221","1","01","","","","","","","","",543,"1","1","5","2","1","2","","","2","266","06718"
"1409700","10","1","01","140970010101","","1409700101","140970010","14","2","1","1","014","1","2","201","046","1","014","07","2020","1","221","1","01","3","1","01","1","221","1","01","","","","","","","","",543,"1","1","10","3","1","2","","","2","266","06718"
"1409808","07","1","01","140980807101","","1409808071","140980807","14","2","1","1","014","1","2","201","028","1","014","10","2021","1","221","1","01","7","2","02","1","221","1","01","","","","","","","","",854,"1","1","6","2","2","2","","","2","266","06722"
"1409938","20","1","01","140993820101","140993820101","1409938201","140993820","14","2","1","1","014","1","1","101","060","1","014","01","2023","1","221","7","48","2","9","12","2","260","","","7","048","08","2023","9","99","1","01",771,"1","1","13","4","1","1","07","1","2","266","06724"
"1410072","20","1","01","141007220101","","1410072201","141007220","14","2","1","1","014","2","3","301","023","1","014","02","2020","2","402","","","","2","02","3","402","","","","","","","","","","",933,"1","1","5","2","","2","","","3","265","06725"
"1410133","08","1","01","141013308101","141013308101","1410133081","141013308","14","2","1","1","014","1","1","101","048","1","014","09","2018","2","213","","","","1","01","2","260","","","8","213","10","2019","3","03","1","01",538,"1","1","10","3","","1","13","2","2","264","06727"
"1410133","08","1","02","141013308102","141013308103","1410133081","141013308","14","2","1","1","014","1","3","301","027","1","014","01","2023","2","213","","","","2","02","2","260","","","8","213","07","2023","9","09","1","03",538,"1","1","6","2","","1","06","1","2","264","06727"
"1410259","09","1","01","141025909101","","1410259091","141025909","14","2","1","3","221","2","3","301","017","1","014","08","2023","1","221","1","01","5","3","03","1","221","1","01","","","","","","","","",712,"1","1","4","1","1","2","","","3","267","06729"
"1410933","07","1","01","141093307101","","1410933071","141093307","14","2","1","1","014","2","8","999","064","1","014","01","2023","1","221","1","01","3","3","03","2","260","","","1","001","02","2023","3","03","2","",588,"1","1","13","4","1","1","01","1","2","266","06736"
"1411101","14","1","01","141110114101","","1411101141","141110114","14","2","1","3","221","2","2","201","025","1","014","08","2023","1","221","1","01","5","9","09","1","221","1","01","","","","","","","","",681,"1","1","6","2","1","2","","","2","266","06738"
"1411201","05","1","01","141120105101","141120105101","1411201051","141120105","14","2","1","1","014","1","1","101","057","1","014","03","2022","1","221","7","12","3","3","03","2","260","","","7","012","05","2022","3","03","1","01",667,"1","1","12","3","1","1","02","1","3","267","06741"
"1411643","03","1","01","141164303101","","1411643031","141164303","14","2","1","3","221","1","3","301","033","1","014","12","2022","1","221","1","01","5","4","04","1","221","1","01","","","","","","","","",662,"1","1","7","3","1","2","","","2","256","06747"
"1411643","03","1","02","141164303102","","1411643031","141164303","14","2","1","3","221","1","3","301","029","1","014","06","2022","1","221","1","01","5","1","01","1","221","1","01","","","","","","","","",662,"1","1","6","2","1","2","","","2","256","06747"
"1411707","03","1","01","141170703101","","1411707031","141170703","14","2","1","1","014","1","1","101","033","1","014","08","2023","1","221","7","09","2","2","02","1","221","7","09","","","","","","","","",512,"1","1","7","3","1","2","","","2","256","06751"
"1411754","14","1","01","141175414101","141175414103","1411754141","141175414","14","2","1","1","014","1","3","301","016","1","014","02","2019","1","221","2","02","3","3","03","2","260","","","2","002","04","2019","3","03","1","03",467,"1","1","4","1","1","1","02","1","3","267","06754"
"1412253","09","1","01","141225309101","","1412253091","141225309","14","2","1","3","221","1","8","501","030","1","014","99","2021","1","221","7","32","7","1","01","1","221","7","32","","","","","","","","",714,"1","1","7","3","2","2","","","2","266","06771"
"1412253","19","1","01","141225319101","","1412253191","141225319","14","2","1","2","016","1","1","101","044","1","014","03","2023","1","221","7","33","2","2","02","1","221","7","33","","","","","","","","",714,"1","1","9","3","1","2","","","2","266","06771"
"1412295","03","1","01","141229503101","","1412295031","141229503","14","2","1","1","014","1","3","301","021","1","014","04","2019","1","221","1","01","1","4","04","1","221","1","01","","","","","","","","",590,"1","1","5","2","1","2","","","2","266","06772"
"1412295","06","1","01","141229506101","","1412295061","141229506","14","2","1","1","014","2","2","201","060","1","014","07","2023","1","221","1","01","9","2","02","1","221","1","01","","","","","","","","",590,"1","1","13","4","9","2","","","2","266","06772"
"1412295","17","1","01","141229517101","141229517102","1412295171","141229517","14","2","1","2","009","2","3","301","060","1","014","10","2022","1","221","7","48","3","4","04","2","260","","","7","048","04","2023","3","03","1","02",590,"1","1","13","4","1","1","06","1","2","266","06772"
"1412530","17","1","01","141253017101","","1412530171","141253017","14","3","1","1","014","1","3","301","026","1","014","06","2019","1","221","1","01","3","9","09","1","221","1","01","","","","","","","","",606,"1","2","6","2","1","2","","","2","268","06775"
"1412882","11","1","01","141288211101","141288211103","1412882111","141288211","14","3","1","1","014","1","3","301","035","1","014","99","2022","1","221","1","01","2","2","02","2","260","","","1","001","01","2023","3","03","1","03",563,"1","2","8","3","1","1","07","1","3","269","06781"
"1413223","05","1","01","141322305101","","1413223051","141322305","14","3","1","1","014","1","3","301","023","1","014","05","2023","1","221","7","48","2","2","02","1","221","7","48","","","","","","","","",810,"1","2","5","2","1","2","","","2","268","06786"
"1413223","09","1","01","141322309101","","1413223091","141322309","14","3","1","1","014","2","3","301","999","1","014","99","2021","1","221","2","02","9","3","03","1","221","2","02","","","","","","","","",810,"1","2","19","9","9","2","","","2","268","06786"
"1413260","06","1","01","141326006101","","1413260061","141326006","14","3","1","2","011","2","3","301","032","1","014","12","2019","2","405","","","","2","02","3","405","","","","","","","","","","",652,"1","2","7","3","","2","","","2","270","06788"
"1413492","02","1","01","141349202101","","1413492021","141349202","14","3","1","1","014","1","2","201","022","1","014","10","2021","1","221","1","01","7","1","01","1","221","1","01","","","","","","","","",775,"1","2","5","2","2","2","","","2","268","06789"
"1413492","03","1","01","141349203101","","1413492031","141349203","14","3","1","3","221","1","1","101","028","1","014","05","2022","1","221","1","01","7","1","01","1","221","1","01","","","","","","","","",775,"1","2","6","2","2","2","","","2","268","06789"
"1413492","09","1","01","141349209101","","1413492091","141349209","14","3","1","1","014","1","2","201","028","1","014","04","2021","1","221","3","06","7","1","01","1","221","3","06","","","","","","","","",775,"1","2","6","2","2","2","","","2","268","06789"
"1413492","20","1","01","141349220101","","1413492201","141349220","14","3","1","1","014","1","3","301","023","1","014","02","2021","1","221","7","34","7","1","01","1","221","7","34","","","","","","","","",775,"1","2","5","2","2","2","","","2","268","06789"
"1413493","06","1","01","141349306101","","1413493061","141349306","14","3","1","1","014","1","3","301","027","1","014","09","2022","1","221","7","99","7","1","01","3","998","","","","","","","","","","",717,"1","2","6","2","2","2","","","2","268","06790"
"1413549","06","1","01","141354906101","141354906101","1413549061","141354906","14","3","1","1","014","1","1","101","072","1","014","03","2022","1","221","7","39","3","3","03","2","260","","","8","998","04","2023","3","03","1","01",645,"1","2","15","4","1","1","13","2","2","268","06792"
"1413549","06","1","02","141354906102","141354906102","1413549061","141354906","14","3","1","1","014","2","2","201","070","1","014","03","2022","1","221","7","39","3","3","03","2","260","","","8","998","04","2023","3","03","1","02",645,"1","2","15","4","1","1","13","2","2","268","06792"
"1413549","09","1","01","141354909101","","1413549091","141354909","14","3","1","1","014","1","3","301","032","1","014","02","2021","1","221","2","02","2","2","02","2","260","","","2","002","01","2023","3","03","2","",645,"1","2","7","3","1","1","23","2","2","268","06792"
"1413977","01","1","01","141397701101","","1413977011","141397701","14","3","1","1","014","2","2","201","048","1","014","07","2023","1","221","7","34","3","3","03","1","221","7","34","","","","","","","","",517,"1","2","10","3","1","2","","","2","268","06796"
"1414714","17","1","01","141471417101","141471417101","1414714171","141471417","14","3","1","1","014","1","1","101","018","1","014","07","2023","2","213","","","","2","02","2","260","","","8","213","08","2023","2","02","1","01",676,"1","2","4","2","","1","01","1","2","270","06804"
"1460145","01","1","01","146014501101","","1460145011","146014501","14","4","1","1","014","1","3","301","031","1","014","04","2023","1","221","7","48","2","2","02","1","221","7","48","","","","","","","","",943,"2","2","7","3","1","2","","","2","273","06811"
"1460145","01","1","02","146014501102","","1460145011","146014501","14","4","1","1","014","1","3","301","027","1","014","04","2023","1","221","7","48","2","2","02","1","221","7","48","","","","","","","","",943,"2","2","6","2","1","2","","","2","273","06811"
"1460145","03","1","01","146014503101","146014503104","1460145031","146014503","14","4","1","1","014","2","8","403","051","1","014","01","2022","1","221","1","01","1","9","09","2","260","","","1","001","05","2023","3","03","1","04",943,"2","2","11","3","1","1","16","2","2","273","06811"
"1460145","05","1","01","146014505101","","1460145051","146014505","14","4","1","1","014","1","5","418","029","1","014","04","2023","1","221","7","48","2","2","02","1","221","7","48","","","","","","","","",943,"2","2","6","2","1","2","","","2","273","06811"
"1460145","12","1","01","146014512101","","1460145121","146014512","14","4","1","1","014","2","3","301","018","1","014","08","2023","1","221","1","01","5","1","01","1","221","1","01","","","","","","","","",943,"2","2","4","2","1","2","","","2","273","06811"
"1460145","12","1","02","146014512102","","1460145121","146014512","14","4","1","1","014","1","3","301","017","1","014","08","2023","1","221","1","01","1","1","01","1","221","1","01","","","","","","","","",943,"2","2","4","1","1","2","","","2","273","06811"
"1460155","14","1","01","146015514101","","1460155141","146015514","14","4","1","1","014","1","3","301","035","1","014","10","2021","1","221","2","02","7","1","01","1","221","2","02","","","","","","","","",934,"2","2","8","3","2","2","","","2","273","06812"
"1460155","14","1","02","146015514102","","1460155141","146015514","14","4","1","1","014","1","5","418","037","1","014","10","2021","1","221","2","02","7","1","01","1","221","2","02","","","","","","","","",934,"2","2","8","3","2","2","","","2","273","06812"
"1460155","18","1","01","146015518101","","1460155181","146015518","14","4","1","2","001","2","3","301","023","1","014","12","2021","1","221","3","06","2","2","02","1","221","7","46","","","","","","","","",934,"2","2","5","2","1","2","","","2","273","06812"
"1460155","18","1","02","146015518102","","1460155181","146015518","14","4","1","1","014","1","3","301","015","1","014","01","2022","1","221","2","02","7","1","01","1","221","2","02","","","","","","","","",934,"2","2","4","1","2","2","","","2","273","06812"
"1460175","10","1","01","146017510101","","1460175101","146017510","14","4","1","1","014","2","2","201","062","1","014","08","2023","1","221","1","01","1","3","03","1","221","1","01","","","","","","","","",803,"2","2","13","4","1","2","","","2","273","06813"
"1460219","13","1","01","146021913101","","1460219131","146021913","14","4","1","1","014","2","3","301","042","1","014","05","2022","1","221","7","48","6","2","02","1","221","7","48","","","","","","","","",695,"2","2","9","3","1","2","","","2","273","06816"
"1460345","06","1","01","146034506101","146034506102","1460345061","146034506","14","4","1","1","014","1","2","201","032","1","014","02","2022","2","213","","","","2","02","2","260","","","8","213","01","2023","2","02","1","02",1092,"2","2","7","3","","1","11","1","2","273","06819"
"1460360","05","1","01","146036005101","","1460360051","146036005","14","4","1","1","014","1","2","201","036","1","014","06","2021","1","221","1","01","7","1","01","1","221","1","01","","","","","","","","",803,"2","2","8","3","2","2","","","2","273","06820"
"1460360","12","1","01","146036012101","146036012101","1460360121","146036012","14","4","1","1","014","1","1","101","040","1","014","09","2022","1","221","7","48","2","2","02","2","260","","","7","048","11","2022","3","03","1","01",803,"2","2","9","3","1","1","02","1","2","273","06820"
"1460387","17","1","01","146038717101","146038717103","1460387171","146038717","14","4","1","1","014","1","3","301","025","1","014","99","2020","1","221","1","01","2","2","02","2","260","","","1","001","99","2021","3","03","1","03",1009,"2","2","6","2","1","1","12","2","1","272","06821"
"1460389","03","1","01","146038903101","","1460389031","146038903","14","4","1","1","014","1","3","301","022","1","014","08","2023","1","221","2","02","6","2","02","1","221","2","02","","","","","","","","",963,"2","2","5","2","1","2","","","2","273","06822"
"1460389","06","1","01","146038906101","146038906101","1460389061","146038906","14","4","1","1","014","1","1","101","030","1","014","04","2020","1","221","1","01","1","2","02","2","260","","","1","001","07","2020","3","03","1","01",963,"2","2","7","3","1","1","03","1","2","273","06822"
"1460389","20","1","01","146038920101","","1460389201","146038920","14","4","1","1","014","1","3","301","019","1","014","11","2018","1","221","4","04","2","2","02","1","221","4","04","","","","","","","","",963,"2","2","4","2","1","2","","","2","273","06822"
"1460496","12","1","01","146049612101","","1460496121","146049612","14","4","1","1","014","1","3","301","025","1","014","01","2021","1","221","7","43","6","1","01","1","221","7","43","","","","","","","","",1092,"2","2","6","2","1","2","","","2","273","06823"
"1460779","09","1","01","146077909101","","1460779091","146077909","14","4","1","1","014","1","2","201","030","1","014","04","2021","1","221","7","29","7","1","01","1","221","7","29","","","","","","","","",734,"2","2","7","3","2","2","","","1","272","06827"
"1460794","01","1","01","146079401101","","1460794011","146079401","14","4","1","2","011","2","3","301","023","1","014","04","2022","1","221","7","43","7","1","01","1","221","7","43","","","","","","","","",656,"2","2","5","2","2","2","","","1","272","06828"
"1460794","01","1","02","146079401102","","1460794011","146079401","14","4","1","2","011","1","3","301","020","1","014","08","2022","1","221","7","43","7","1","01","1","221","7","43","","","","","","","","",656,"2","2","5","2","2","2","","","1","272","06828"
"1460794","11","1","01","146079411101","","1460794111","146079411","14","4","1","1","014","2","8","406","072","1","014","06","2023","1","221","7","22","3","3","03","1","221","7","22","","","","","","","","",656,"2","2","15","4","1","2","","","1","272","06828"
"1460836","07","1","01","146083607101","146083607102","1460836071","146083607","14","4","1","1","014","1","3","301","025","1","014","05","2019","1","221","1","01","2","2","02","2","260","","","1","001","12","2019","9","12","1","02",817,"2","2","6","2","1","1","07","1","2","273","06829"
"1460836","17","1","01","146083617101","","1460836171","146083617","14","4","1","1","014","1","1","101","031","1","014","06","2023","1","221","7","48","7","2","02","1","221","7","48","","","","","","","","",817,"2","2","7","3","2","2","","","2","273","06829"
"1460878","05","1","01","146087805101","","1460878051","146087805","14","4","1","1","014","1","3","301","024","1","014","07","2022","1","221","2","02","7","1","01","1","221","2","02","","","","","","","","",695,"2","2","5","2","2","2","","","2","273","06830"
"1461174","18","1","01","146117418101","146117418101","1461174181","146117418","14","4","1","1","014","1","1","101","027","1","014","04","2023","1","221","7","48","2","2","02","2","260","","","8","998","99","9999","9","99","1","01",674,"2","2","6","2","1","1","99","9","1","272","06833"
"1461315","11","1","01","146131511101","","1461315111","146131511","14","4","1","1","014","1","2","201","025","1","014","03","2020","1","221","7","50","7","1","01","1","221","7","50","","","","","","","","",784,"2","2","6","2","2","2","","","1","272","06834"
"1461315","12","1","01","146131512101","","1461315121","146131512","14","4","1","1","014","1","3","301","023","1","014","12","2021","2","213","","","","1","01","3","213","","","","","","","","","","",784,"2","2","5","2","","2","","","1","272","06834"
"1461315","14","1","01","146131514101","146131514101","1461315141","146131514","14","4","1","1","014","1","1","101","022","1","014","11","2022","1","221","3","06","2","2","02","2","260","","","3","006","05","2023","9","12","1","01",784,"2","2","5","2","1","1","06","1","1","272","06834"
"1500755","04","1","01","150075504101","150075504102","1500755041","150075504","15","1","1","2","009","1","3","301","046","1","015","02","2022","2","439","","","","3","03","2","260","","","8","439","06","2022","9","99","1","02",2072,"1","1","10","3","","1","04","1","4","277","06855"
"1501274","03","1","01","150127403101","","1501274031","150127403","15","1","1","2","020","1","5","418","024","1","015","03","2019","1","221","1","01","7","1","01","1","221","1","01","","","","","","","","",1191,"1","1","5","2","2","2","","","2","275","06862"
"1505067","03","1","01","150506703101","150506703103","1505067031","150506703","15","1","1","2","009","1","3","301","041","1","015","07","2021","2","402","","","","1","01","2","260","","","8","402","02","2022","9","09","1","03",1371,"1","1","9","3","","1","07","1","3","276","06963"
"1507177","01","1","01","150717701101","150717701101","1507177011","150717701","15","1","1","1","015","1","1","101","036","1","015","08","2023","1","221","2","02","2","9","12","2","260","","","2","002","08","2023","3","03","1","01",1603,"1","1","8","3","1","1","00","1","4","277","07008"
"1508172","04","1","01","150817204101","","1508172041","150817204","15","1","1","2","009","1","3","301","057","1","015","07","2021","1","221","2","02","2","2","02","1","221","2","02","","","","","","","","",1329,"1","1","12","3","1","2","","","2","275","07023"
"1509865","02","1","01","150986502101","150986502103","1509865021","150986502","15","1","1","1","015","1","8","413","041","1","015","04","2023","2","325","","","","2","02","2","260","","","8","325","04","2023","2","02","1","03",1170,"1","1","9","3","","1","00","1","2","275","07060"
"1512801","01","1","01","151280101101","","1512801011","151280101","15","1","1","2","009","2","3","301","027","1","015","02","2023","2","213","","","","1","01","3","213","","","","","","","","","","",1696,"1","1","6","2","","2","","","3","276","07112"
"1513667","02","1","01","151366702101","151366702101","1513667021","151366702","15","1","1","1","015","1","1","101","047","1","015","03","2023","2","213","","","","9","12","2","260","","","8","213","08","2023","9","12","1","01",1160,"1","1","10","3","","1","05","1","2","275","07132"
"1514520","05","1","01","151452005101","","1514520051","151452005","15","1","1","2","009","2","3","301","038","1","015","10","2022","2","415","","","","1","01","3","415","","","","","","","","","","",1885,"1","1","8","3","","2","","","4","277","07150"
"1516206","03","1","01","151620603101","","1516206031","151620603","15","1","1","1","015","2","3","301","026","1","015","03","2023","2","343","","","","2","02","3","343","","","","","","","","","","",1314,"1","1","6","2","","2","","","4","284","07182"
"1516995","03","1","01","151699503101","","1516995031","151699503","15","1","1","1","015","1","3","301","022","1","015","04","2023","2","213","","","","1","01","3","213","","","","","","","","","","",2263,"1","1","5","2","","2","","","3","283","07196"
"1517461","01","1","01","151746101101","","1517461011","151746101","15","1","1","1","015","1","3","301","030","1","015","07","2021","1","221","7","48","7","1","01","1","221","7","48","","","","","","","","",2287,"1","1","7","3","2","2","","","2","275","07207"
"1522909","03","1","01","152290903101","","1522909031","152290903","15","2","1","2","009","2","3","301","022","1","015","01","2023","2","439","","","","2","02","3","439","","","","","","","","","","",2157,"1","1","5","2","","2","","","4","287","07296"
"1524476","05","1","01","152447605101","","1524476051","152447605","15","3","1","2","011","2","3","301","029","1","015","12","2018","1","221","5","05","2","2","02","1","221","5","05","","","","","","","","",1637,"1","2","6","2","1","2","","","2","281","07321"
"1524483","03","1","01","152448303101","","1524483031","152448303","15","3","1","1","015","2","3","301","020","1","015","10","2018","1","221","5","05","4","5","05","1","221","1","01","","","","","","","","",1523,"1","2","5","2","1","2","","","2","281","07322"
"1524979","01","1","01","152497901101","","1524979011","152497901","15","3","1","2","012","2","2","201","041","1","015","03","2021","1","221","1","01","2","2","02","1","221","1","01","","","","","","","","",2051,"1","2","9","3","1","2","","","2","281","07327"
"1525042","05","1","01","152504205101","152504205102","1525042051","152504205","15","3","1","1","015","1","1","101","046","1","015","02","2019","1","221","1","01","2","1","01","2","260","","","1","001","12","2019","3","03","1","02",1801,"1","2","10","3","1","1","10","1","2","281","07329"
"1560175","07","1","01","156017507101","","1560175071","156017507","15","4","1","1","015","1","2","201","033","1","015","07","2022","1","221","7","20","7","1","01","1","221","7","20","","","","","","","","",1844,"2","2","7","3","2","2","","","1","297","07381"
"1560175","11","1","01","156017511101","","1560175111","156017511","15","4","1","1","015","1","2","201","026","1","015","06","2022","1","221","1","01","7","1","01","1","221","1","01","","","","","","","","",1844,"2","2","6","2","2","2","","","1","297","07381"
"1560235","09","1","01","156023509101","","1560235091","156023509","15","4","1","1","015","1","3","301","028","1","015","08","2023","2","225","","","","2","02","3","225","","","","","","","","","","",1653,"2","2","6","2","","2","","","1","297","07382"
"1560620","08","2","01","156062008201","","1560620082","156062008","15","4","1","1","015","1","2","201","050","1","015","07","2022","1","221","7","12","7","2","02","1","221","7","12","","","","","","","","",1630,"2","2","11","3","2","2","","","2","298","07386"
"1560940","14","1","01","156094014101","","1560940141","156094014","15","4","1","1","015","1","2","201","040","1","015","09","2022","1","221","1","01","3","2","02","1","221","1","01","","","","","","","","",2167,"2","2","9","3","1","2","","","1","297","07393"
"1560940","20","1","01","156094020101","","1560940201","156094020","15","4","1","1","015","2","3","301","030","1","015","02","2023","1","221","5","05","7","1","01","1","221","5","05","","","","","","","","",2167,"2","2","7","3","2","2","","","1","297","07393"
"1760267","02","1","01","176026702101","","1760267021","176026702","17","4","1","2","009","1","3","301","039","1","017","07","2021","2","425","","","","4","04","3","425","","","","","","","","","","",251,"2","2","8","3","","2","","","2","341","08222"
"1760279","02","1","01","176027902101","","1760279021","176027902","17","4","1","1","017","2","2","201","047","1","017","07","2022","2","213","","","","9","10","3","213","","","","","","","","","","",263,"2","2","10","3","","2","","","2","341","08223"
"1760304","12","1","01","176030412101","","1760304121","176030412","17","4","1","2","012","1","1","101","060","1","017","03","2023","1","221","7","38","2","1","01","1","221","7","38","","","","","","","","",215,"2","2","13","4","1","2","","","2","341","08225"
"1760304","21","1","01","176030421101","","1760304211","176030421","17","4","1","1","017","1","1","101","049","1","017","06","2023","1","221","7","10","2","1","01","1","221","7","10","","","","","","","","",215,"2","2","10","3","1","2","","","2","341","08225"
"1760328","11","1","01","176032811101","","1760328111","176032811","17","4","1","3","221","1","3","301","018","1","017","07","2020","1","221","7","17","5","5","05","1","221","7","17","","","","","","","","",368,"2","2","4","2","1","2","","","1","340","08228"
"1760338","21","1","01","176033821101","","1760338211","176033821","17","4","1","1","017","2","3","301","031","1","017","04","2022","1","221","2","02","2","1","01","1","221","2","02","","","","","","","","",233,"2","2","7","3","1","2","","","1","340","08229"
"1760338","21","1","02","176033821102","","1760338211","176033821","17","4","1","1","017","2","3","301","027","1","017","04","2022","1","221","2","02","2","1","01","1","221","2","02","","","","","","","","",233,"2","2","6","2","1","2","","","1","340","08229"
"1760338","21","1","03","176033821103","","1760338211","176033821","17","4","1","1","017","2","3","301","025","1","017","05","2019","1","221","7","10","7","1","01","1","221","7","10","","","","","","","","",233,"2","2","6","2","2","2","","","1","340","08229"
"1760418","04","1","01","176041804101","","1760418041","176041804","17","4","1","2","012","1","8","413","019","1","017","07","2023","1","221","6","03","7","1","01","1","221","6","03","","","","","","","","",217,"2","2","4","2","2","2","","","1","340","08231"
"1760438","14","1","01","176043814101","176043814101","1760438141","176043814","17","4","1","1","017","1","1","101","039","1","017","09","2021","1","221","6","03","3","1","01","2","260","","","7","003","11","2021","2","02","1","01",172,"2","2","8","3","1","1","02","1","2","341","08234"
"1800077","04","1","01","180007704101","","1800077041","180007704","18","1","1","1","018","2","3","301","027","1","018","08","2018","2","330","","","","4","04","3","330","","","","","","","","","","",88,"1","1","6","2","","2","","","3","343","08244"
"1800122","02","1","01","180012202101","","1800122021","180012202","18","1","1","1","018","1","3","301","028","1","018","02","2022","1","221","3","06","7","1","01","1","221","3","06","","","","","","","","",130,"1","1","6","2","2","2","","","3","343","08258"
"1800166","02","1","01","180016602101","180016602101","1800166021","180016602","18","1","1","1","018","2","1","101","060","1","018","08","2018","1","221","7","40","3","3","03","2","260","","","7","040","12","2020","9","11","1","01",105,"1","1","13","4","1","1","28","2","3","343","08266"
"1800168","03","1","01","180016803101","180016803103","1800168031","180016803","18","1","1","1","018","1","3","301","018","1","018","12","2022","1","221","7","39","7","1","01","2","260","","","7","039","04","2023","3","03","1","03",96,"1","1","4","2","2","1","04","1","3","343","08267"
"1800186","01","1","01","180018601101","","1800186011","180018601","18","1","1","1","018","1","1","101","030","1","018","04","2023","1","221","1","01","7","1","01","1","221","7","12","","","","","","","","",108,"1","1","7","3","2","2","","","2","342","08271"
"1800190","02","1","01","180019002101","","1800190021","180019002","18","1","1","1","018","1","3","301","042","1","018","05","2022","1","221","7","10","7","1","01","1","221","7","10","","","","","","","","",99,"1","1","9","3","2","2","","","2","342","08273"
"1800213","04","1","01","180021304101","","1800213041","180021304","18","1","1","2","010","1","5","418","028","1","018","11","2019","2","213","","","","9","09","3","213","","","","","","","","","","",125,"1","1","6","2","","2","","","2","342","08277"
"1800218","02","1","01","180021802101","180021802103","1800218021","180021802","18","1","1","1","018","1","3","301","024","1","018","08","2019","2","213","","","","1","01","2","260","","","8","213","01","2020","9","09","1","03",114,"1","1","5","2","","1","05","1","4","344","08279"
"1800246","03","1","01","180024603101","","1800246031","180024603","18","1","1","3","221","1","3","301","021","1","018","06","2023","1","221","1","01","5","5","05","1","221","1","01","","","","","","","","",126,"1","1","5","2","1","2","","","3","343","08288"
"1800252","01","1","01","180025201101","180025201101","1800252011","180025201","18","1","1","1","018","1","1","101","024","1","018","07","2021","1","221","1","01","3","1","01","2","260","","","1","001","12","2021","3","03","1","01",108,"1","1","5","2","1","1","05","1","3","343","08290"
"1800308","05","1","01","180030805101","","1800308051","180030805","18","1","1","2","014","1","8","401","032","2","014","07","2023","1","221","7","48","2","2","02","1","221","7","48","","","","","","","","",131,"1","1","7","3","1","2","","","2","342","08300"
"1800312","05","1","01","180031205101","","1800312051","180031205","18","1","1","1","018","1","2","201","039","1","018","01","2023","2","213","","","","2","02","3","213","","","","","","","","","","",115,"1","1","8","3","","2","","","3","343","08303"
"1800341","04","1","01","180034104101","180034104101","1800341041","180034104","18","1","1","1","018","1","1","101","999","1","018","04","2021","1","221","7","14","2","2","02","2","260","","","7","014","11","2021","9","12","1","01",111,"1","1","19","9","1","1","07","1","2","342","08314"
"1800397","04","1","01","180039704101","180039704103","1800397041","180039704","18","1","1","1","018","1","3","301","025","1","018","10","2020","1","221","1","01","3","1","01","2","260","","","1","001","12","2020","3","03","1","03",103,"1","1","6","2","1","1","02","1","2","342","08328"
"1800415","03","1","01","180041503101","","1800415031","180041503","18","1","1","1","018","1","2","201","044","1","018","11","2021","1","221","2","02","3","2","02","1","221","2","02","","","","","","","","",124,"1","1","9","3","1","2","","","2","342","08332"
"1800439","02","1","01","180043902101","","1800439021","180043902","18","1","1","1","018","1","8","501","025","1","018","10","2021","1","221","7","40","7","1","01","1","221","7","40","","","","","","","","",108,"1","1","6","2","2","2","","","2","342","08337"
"1800495","03","1","01","180049503101","180049503102","1800495031","180049503","18","1","1","1","018","2","3","301","021","1","018","12","2022","2","414","","","","5","05","2","260","","","8","414","01","2023","5","05","1","02",106,"1","1","5","2","","1","01","1","3","343","08349"
"1800568","01","1","01","180056801101","","1800568011","180056801","18","1","1","2","016","2","2","201","079","1","018","99","2022","1","221","1","01","3","3","03","1","221","1","01","","","","","","","","",88,"1","1","16","4","1","2","","","2","342","08365"
"1800582","01","1","01","180058201101","","1800582011","180058201","18","1","1","1","018","1","2","201","054","1","018","04","2023","1","221","2","02","2","2","02","1","221","2","02","","","","","","","","",113,"1","1","11","3","1","2","","","3","343","08369"
"1800594","05","1","01","180059405101","","1800594051","180059405","18","1","1","1","018","1","3","301","040","1","018","99","2020","1","221","1","01","1","1","01","1","221","1","01","","","","","","","","",106,"1","1","9","3","1","2","","","3","343","08371"
"1800594","05","1","02","180059405102","","1800594051","180059405","18","1","1","1","018","2","3","301","040","1","018","99","2020","1","221","1","01","1","1","01","1","221","1","01","","","","","","","","",106,"1","1","9","3","1","2","","","3","343","08371"
"1800650","01","1","01","180065001101","","1800650011","180065001","18","1","1","1","018","1","2","201","019","1","018","08","2021","1","221","7","34","2","2","02","9","999","","","","","","","","","","",122,"1","1","4","2","1","9","","","2","342","08382"
"1800725","01","1","01","180072501101","","1800725011","180072501","18","1","1","1","018","2","3","301","026","1","018","12","2018","1","221","1","01","3","4","04","1","221","1","01","","","","","","","","",111,"1","1","6","2","1","2","","","2","342","08392"
