"upm","viv_sel","hogar","n_ren","llave_mig","llave_per","llave_hog","llave_viv","ent","tam_loc","p4_4","p4_5","p4_5c","p4_6","p4_7","p4_7c","p4_8","p4_9","p4_9c","p4_10_1","p4_10_2","p4_11","p4_11c","p4_12","p4_12c","p4_13","p4_14","p4_14c","p4_15","p4_15c","p4_16","p4_16c","p4_17","p4_17c","p4_18_1","p4_18_2","p4_19","p4_19c","p4_20_1","p4_20_2","fac_hog","t_loc_ur","t_loc_ag1","p4_8_ag1","p4_8_ag2","doc_mig","cond_resid","tpo_mig","tpo_mig_ag","estrato","est_dis","upm_dis"
"2606465","19","1","01","260646519101","260646519101","2606465191","260646519","26","3","1","1","026","1","1","101","023","1","026","11","2020","1","221","4","04","3","2","02","2","260","","","4","004","12","2021","3","03","1","01",215,"1","2","5","2","1","1","13","2","2","509","12556"
"2606589","08","1","01","260658908101","260658908101","2606589081","260658908","26","3","1","1","026","1","1","101","042","1","026","08","2020","1","221","4","04","2","2","02","2","260","","","4","004","11","2020","9","12","1","01",285,"1","2","9","3","1","1","03","1","2","510","12560"
"2606589","19","1","01","260658919101","","2606589191","260658919","26","3","1","2","021","1","2","201","034","1","026","06","2022","1","221","1","01","6","1","01","1","221","1","01","","","","","","","","",285,"1","2","7","3","1","2","","","2","510","12560"
"2606658","02","1","01","260665802101","","2606658021","260665802","26","3","1","3","221","2","3","301","026","1","026","02","2022","1","221","4","04","5","1","01","1","221","4","04","","","","","","","","",250,"1","2","6","2","1","2","","","2","509","12562"
"2606658","02","1","02","260665802102","","2606658021","260665802","26","3","1","3","221","2","3","301","024","1","026","02","2022","1","221","4","04","5","3","03","1","221","4","04","","","","","","","","",250,"1","2","5","2","1","2","","","2","509","12562"
"2606658","20","1","01","260665820101","","2606658201","260665820","26","3","1","1","026","1","1","101","041","1","026","02","2022","1","221","7","48","3","2","02","1","221","4","04","","","","","","","","",250,"1","2","9","3","1","2","","","2","509","12562"
"3260551","19","1","01","326055119101","","3260551191","326055119","32","4","1","1","032","1","2","201","047","1","032","05","2023","1","221","7","10","7","1","01","1","221","7","14","","","","","","","","",121,"2","2","10","3","2","2","","","1","658","15195"
"2660006","18","1","01","266000618101","","2660006181","266000618","26","4","1","3","221","1","8","501","044","1","026","12","2021","1","221","7","99","7","1","01","3","998","","","","","","","","","","",305,"2","2","9","3","2","2","","","2","512","12563"
"2660029","04","1","01","266002904101","","2660029041","266002904","26","4","1","3","221","1","3","301","018","1","026","03","2020","1","221","4","04","5","2","02","1","221","4","04","","","","","","","","",328,"2","2","4","2","1","2","","","2","512","12565"
"2660072","04","1","01","266007204101","","2660072041","266007204","26","4","1","1","026","2","2","201","050","1","026","04","2023","1","221","4","04","3","1","01","1","221","4","04","","","","","","","","",241,"2","2","11","3","1","2","","","2","512","12569"
"2660095","12","1","01","266009512101","","2660095121","266009512","26","4","1","2","032","1","2","201","046","1","026","08","2023","1","221","7","22","2","2","02","1","221","7","22","","","","","","","","",378,"2","2","10","3","1","2","","","2","512","12570"
"2660095","13","1","01","266009513101","","2660095131","266009513","26","4","1","3","221","1","3","301","024","1","026","12","2019","1","221","4","04","5","6","06","1","221","4","04","","","","","","","","",378,"2","2","5","2","1","2","","","2","512","12570"
"2660139","04","1","01","266013904101","","2660139041","266013904","26","4","1","1","026","1","5","418","046","1","026","08","2023","1","221","7","48","2","1","01","1","221","7","48","","","","","","","","",317,"2","2","10","3","1","2","","","1","511","12572"
"2700068","05","1","01","270006805101","","2700068051","270006805","27","1","1","2","007","2","3","301","027","1","027","04","2023","2","402","","","","5","05","3","402","","","","","","","","","","",206,"1","1","6","2","","2","","","2","513","12597"
"2700134","04","1","01","270013404101","","2700134041","270013404","27","1","1","1","027","2","8","419","030","1","027","06","2023","1","221","1","01","1","3","03","1","221","1","01","","","","","","","","",174,"1","1","7","3","1","2","","","4","515","12606"
"2700134","04","1","02","270013404102","","2700134041","270013404","27","1","1","1","027","2","8","424","002","1","027","06","2023","1","221","1","01","5","3","03","1","221","1","01","","","","","","","","",174,"1","1","1","1","1","2","","","4","515","12606"
"2700424","05","1","01","270042405101","","2700424051","270042405","27","1","1","1","027","1","3","301","026","1","027","05","2019","1","221","7","39","2","2","02","1","221","7","39","","","","","","","","",230,"1","1","6","2","1","2","","","3","514","12649"
"2700567","01","1","01","270056701101","","2700567011","270056701","27","1","1","1","027","1","5","418","030","1","027","06","2023","2","213","","","","2","02","3","213","","","","","","","","","","",261,"1","1","7","3","","2","","","2","513","12664"
"2700803","02","1","01","270080302101","","2700803021","270080302","27","1","1","1","027","2","3","301","033","1","027","02","2023","1","221","4","04","2","2","02","1","221","4","04","","","","","","","","",229,"1","1","7","3","1","2","","","4","515","12704"
"2700984","11","1","01","270098411101","","2700984111","270098411","27","2","1","1","027","2","8","403","021","2","021","06","2021","1","221","5","05","2","1","01","1","221","5","05","","","","","","","","",189,"1","1","5","2","1","2","","","2","519","12724"
"2701358","16","1","01","270135816101","","2701358161","270135816","27","2","1","1","027","1","3","301","029","1","027","08","2020","2","213","","","","1","01","3","213","","","","","","","","","","",180,"1","1","6","2","","2","","","2","519","12747"
"2701446","03","1","01","270144603101","","2701446031","270144603","27","3","1","1","027","1","2","201","028","1","027","07","2022","1","221","2","02","7","1","01","1","221","2","02","","","","","","","","",221,"1","2","6","2","2","2","","","1","523","12750"
"2701446","11","1","01","270144611101","","2701446111","270144611","27","3","1","1","027","1","1","101","034","1","027","01","2023","1","221","2","02","7","1","01","1","221","2","02","","","","","","","","",221,"1","2","7","3","2","2","","","1","523","12750"
